#iTow[ms],utc[year:month:day:hour:minute:second],fixType[0-5],longitude[deg],latitude[deg],height[mm],velN[mm/s],velE[mm/s],velD[mm/s],gSpeed[mm/s],headMot[deg1e-5],pDop[],numSV[],ttff[ms],gpsFlag[],temp[C]#,GNSS Time [UTC],height[m]
27034900,2022:1:23:7:30:16,3,11.3833664,47.3122411,2313126,-51,-13,-36,53,31679792,183,10,923803143,0,7.94,2022-01-23 07:30:16,2313.126
27035000,2022:1:23:7:30:17,3,11.3833664,47.3122412,2313147,-22,-24,-45,33,31679792,183,10,923868679,0,7.94,2022-01-23 07:30:17,2313.147
27035100,2022:1:23:7:30:17,3,11.3833665,47.3122412,2313146,-34,21,-40,40,31679792,183,10,923868679,0,7.94,2022-01-23 07:30:17,2313.146
27035200,2022:1:23:7:30:17,3,11.3833664,47.3122413,2313157,-15,-38,-34,41,31679792,183,10,923868679,1,8.0,2022-01-23 07:30:17,2313.157
27035300,2022:1:23:7:30:17,3,11.3833664,47.3122414,2313179,-1,-5,-37,5,31679792,183,10,923868679,1,8.0,2022-01-23 07:30:17,2313.179
27035400,2022:1:23:7:30:17,3,11.3833664,47.3122415,2313169,15,-16,-18,22,31679792,183,10,923868679,1,8.0,2022-01-23 07:30:17,2313.169
27035500,2022:1:23:7:30:17,3,11.3833665,47.3122414,2313206,-52,22,-30,57,31679792,183,10,923868679,1,8.0,2022-01-23 07:30:17,2313.206
27035600,2022:1:23:7:30:17,3,11.3833665,47.3122414,2313223,-38,2,-29,38,31679792,183,10,923868679,1,8.0,2022-01-23 07:30:17,2313.223
27035700,2022:1:23:7:30:17,3,11.3833664,47.3122415,2313249,-7,-8,-31,10,31679792,183,10,923868679,1,8.0,2022-01-23 07:30:17,2313.249
27035800,2022:1:23:7:30:17,3,11.3833664,47.3122416,2313270,-6,4,-24,7,31679792,183,10,923868679,1,8.0,2022-01-23 07:30:17,2313.27
27035900,2022:1:23:7:30:17,3,11.3833664,47.3122417,2313276,5,3,-14,6,31679792,183,10,923868679,1,8.0,2022-01-23 07:30:17,2313.276
27036000,2022:1:23:7:30:18,3,11.3833665,47.3122418,2313280,23,28,-4,37,31679792,183,10,923934215,1,8.0,2022-01-23 07:30:18,2313.28
27036100,2022:1:23:7:30:18,3,11.3833663,47.3122419,2313307,10,-30,-3,32,31679792,183,10,923934215,1,8.0,2022-01-23 07:30:18,2313.307
27036200,2022:1:23:7:30:18,3,11.3833662,47.312242,2313342,35,-21,-8,41,31679792,183,10,923934215,0,8.0,2022-01-23 07:30:18,2313.342
27036300,2022:1:23:7:30:18,3,11.3833662,47.3122421,2313365,47,-5,-9,47,31679792,183,10,923934215,0,8.0,2022-01-23 07:30:18,2313.365
27036400,2022:1:23:7:30:18,3,11.3833663,47.3122422,2313360,21,21,7,29,31679792,183,10,923934215,0,8.0,2022-01-23 07:30:18,2313.36
27036500,2022:1:23:7:30:18,3,11.3833663,47.3122423,2313360,15,9,20,18,31679792,183,10,923934215,0,8.0,2022-01-23 07:30:18,2313.36
27036600,2022:1:23:7:30:18,3,11.3833661,47.3122424,2313395,26,-31,8,40,31679792,183,10,923934215,0,8.0,2022-01-23 07:30:18,2313.395
27036700,2022:1:23:7:30:18,3,11.3833662,47.3122424,2313410,-3,28,7,29,31679792,183,10,923934215,0,7.94,2022-01-23 07:30:18,2313.41
27036800,2022:1:23:7:30:18,3,11.3833661,47.3122427,2313425,47,-26,6,53,31679792,183,10,923934215,0,7.94,2022-01-23 07:30:18,2313.425
27036900,2022:1:23:7:30:18,3,11.383366,47.3122428,2313417,54,-24,21,60,31679792,183,10,923934215,0,7.94,2022-01-23 07:30:18,2313.417
27037000,2022:1:23:7:30:19,3,11.383366,47.3122428,2313458,10,-6,5,11,31679792,183,10,923999751,0,7.94,2022-01-23 07:30:19,2313.458
27037100,2022:1:23:7:30:19,3,11.3833659,47.3122429,2313494,27,-1,-3,27,31679792,183,10,923999751,0,7.94,2022-01-23 07:30:19,2313.494
27037200,2022:1:23:7:30:19,3,11.3833659,47.312243,2313501,37,-19,2,42,31679792,183,10,923999751,1,7.94,2022-01-23 07:30:19,2313.501
27037300,2022:1:23:7:30:19,3,11.3833658,47.3122432,2313499,83,-20,13,85,31679792,183,10,923999751,1,7.94,2022-01-23 07:30:19,2313.499
27037400,2022:1:23:7:30:19,3,11.3833658,47.3122432,2313518,37,-18,14,41,31679792,183,10,923999751,1,7.94,2022-01-23 07:30:19,2313.518
27037500,2022:1:23:7:30:19,3,11.3833658,47.3122433,2313551,35,-12,1,37,31679792,183,10,923999751,1,7.94,2022-01-23 07:30:19,2313.551
27037600,2022:1:23:7:30:19,3,11.3833659,47.3122432,2313539,-64,15,16,66,31679792,183,10,923999751,1,7.94,2022-01-23 07:30:19,2313.539
27037700,2022:1:23:7:30:19,3,11.3833658,47.3122434,2313559,30,1,15,30,31679792,183,10,923999751,1,7.94,2022-01-23 07:30:19,2313.559
27037800,2022:1:23:7:30:19,3,11.3833658,47.3122433,2313599,-25,-2,0,25,31679792,183,10,923999751,1,7.94,2022-01-23 07:30:19,2313.599
27037900,2022:1:23:7:30:19,3,11.3833658,47.3122433,2313604,-40,9,8,41,31679792,183,10,923999751,1,7.94,2022-01-23 07:30:19,2313.604
27038000,2022:1:23:7:30:20,3,11.3833655,47.3122435,2313628,14,-70,2,72,31679792,183,10,924065287,1,7.94,2022-01-23 07:30:20,2313.628
27038100,2022:1:23:7:30:20,3,11.3833656,47.3122436,2313636,31,35,2,47,31679792,183,10,924065287,1,7.94,2022-01-23 07:30:20,2313.636
27038200,2022:1:23:7:30:20,3,11.3833656,47.3122436,2313658,-11,8,-4,13,31679792,183,10,924065287,0,7.94,2022-01-23 07:30:20,2313.658
27038300,2022:1:23:7:30:20,3,11.3833655,47.3122437,2313663,-36,9,-1,37,31679792,183,10,924065287,0,7.94,2022-01-23 07:30:20,2313.663
27038400,2022:1:23:7:30:20,3,11.3833655,47.3122438,2313671,6,1,3,7,31679792,183,10,924065287,0,7.94,2022-01-23 07:30:20,2313.671
27038500,2022:1:23:7:30:20,3,11.3833653,47.3122439,2313703,15,-32,-13,35,31679792,183,10,924065287,0,7.94,2022-01-23 07:30:20,2313.703
27038600,2022:1:23:7:30:20,3,11.3833653,47.3122439,2313704,-35,5,-6,35,31679792,183,10,924065287,0,7.94,2022-01-23 07:30:20,2313.704
27038700,2022:1:23:7:30:20,3,11.3833652,47.3122441,2313692,-3,-18,7,18,31679792,183,10,924065287,0,7.94,2022-01-23 07:30:20,2313.692
27038800,2022:1:23:7:30:20,3,11.3833651,47.3122443,2313727,38,3,-10,38,31679792,183,10,924065287,0,7.94,2022-01-23 07:30:20,2313.727
27038900,2022:1:23:7:30:20,3,11.383365,47.3122444,2313739,20,-15,-11,25,31679792,183,10,924065287,0,7.94,2022-01-23 07:30:20,2313.739
27039000,2022:1:23:7:30:21,3,11.383365,47.3122446,2313757,31,-4,-18,31,31679792,183,10,924130823,0,7.94,2022-01-23 07:30:21,2313.757
27039100,2022:1:23:7:30:21,3,11.383365,47.3122446,2313766,-6,12,-16,14,31679792,183,10,924130823,0,7.94,2022-01-23 07:30:21,2313.766
27039200,2022:1:23:7:30:21,3,11.3833649,47.3122447,2313759,-25,-2,-2,25,31679792,183,10,924130823,1,7.94,2022-01-23 07:30:21,2313.759
27039300,2022:1:23:7:30:21,3,11.3833646,47.3122448,2313788,8,-63,-13,64,31679792,183,10,924130823,1,7.94,2022-01-23 07:30:21,2313.788
27039400,2022:1:23:7:30:21,3,11.3833647,47.3122449,2313811,25,-11,-24,28,31679792,183,10,924130823,1,7.94,2022-01-23 07:30:21,2313.811
27039500,2022:1:23:7:30:21,3,11.3833648,47.312245,2313774,-7,41,5,42,31679792,183,10,924130823,1,7.94,2022-01-23 07:30:21,2313.774
27039600,2022:1:23:7:30:21,3,11.3833646,47.3122451,2313799,-11,5,-2,12,31679792,183,10,924130823,1,7.94,2022-01-23 07:30:21,2313.799
27039700,2022:1:23:7:30:21,3,11.3833644,47.3122451,2313816,-8,-41,-9,42,31679792,183,10,924130823,1,7.94,2022-01-23 07:30:21,2313.816
27039800,2022:1:23:7:30:21,3,11.3833645,47.3122451,2313814,-35,20,-7,40,31679792,183,10,924130823,1,7.94,2022-01-23 07:30:21,2313.814
27039900,2022:1:23:7:30:21,3,11.3833644,47.3122453,2313824,23,-2,-9,23,31679792,183,10,924130823,1,7.94,2022-01-23 07:30:21,2313.824
27040000,2022:1:23:7:30:22,3,11.3833644,47.3122454,2313840,22,-3,-12,22,31679792,183,10,924196359,1,7.94,2022-01-23 07:30:22,2313.84
27040100,2022:1:23:7:30:22,3,11.3833642,47.3122454,2313846,-8,-47,-13,47,31679792,183,10,924196359,1,7.94,2022-01-23 07:30:22,2313.846
27040200,2022:1:23:7:30:22,3,11.3833643,47.3122455,2313846,-8,34,-10,35,31679792,183,10,924196359,0,7.94,2022-01-23 07:30:22,2313.846
27040300,2022:1:23:7:30:22,3,11.3833642,47.3122455,2313866,11,14,-15,18,31679792,183,10,924196359,0,7.94,2022-01-23 07:30:22,2313.866
27040400,2022:1:23:7:30:22,3,11.3833641,47.3122456,2313869,10,-25,-4,27,31679792,183,10,924196359,0,7.94,2022-01-23 07:30:22,2313.869
27040500,2022:1:23:7:30:22,3,11.3833641,47.3122456,2313888,6,-22,-12,22,31679792,183,10,924196359,0,7.94,2022-01-23 07:30:22,2313.888
27040600,2022:1:23:7:30:22,3,11.3833641,47.3122456,2313892,-22,11,-13,25,31679792,183,10,924196359,0,7.94,2022-01-23 07:30:22,2313.892
27040700,2022:1:23:7:30:22,3,11.383364,47.3122458,2313895,5,-6,-4,7,31679792,183,10,924196359,0,7.94,2022-01-23 07:30:22,2313.895
27040800,2022:1:23:7:30:22,3,11.3833639,47.3122459,2313914,10,-5,-14,12,31679792,183,10,924196359,0,7.94,2022-01-23 07:30:22,2313.914
27040900,2022:1:23:7:30:22,3,11.3833637,47.312246,2313912,13,-25,-11,28,31679792,183,10,924196359,0,7.94,2022-01-23 07:30:22,2313.912
27041000,2022:1:23:7:30:23,3,11.3833636,47.3122461,2313929,0,-10,-14,10,31679792,183,10,924261895,0,7.94,2022-01-23 07:30:23,2313.929
27041100,2022:1:23:7:30:23,3,11.3833635,47.3122463,2313909,18,-22,1,29,31679792,183,10,924261895,0,7.94,2022-01-23 07:30:23,2313.909
27041200,2022:1:23:7:30:23,3,11.3833634,47.3122464,2313948,30,-10,-20,31,31679792,183,10,924261895,1,7.94,2022-01-23 07:30:23,2313.948
27041300,2022:1:23:7:30:23,3,11.3833633,47.3122465,2313948,0,-10,-13,10,31679792,183,10,924261895,1,7.94,2022-01-23 07:30:23,2313.948
27041400,2022:1:23:7:30:23,3,11.3833633,47.3122466,2313956,-6,10,-15,12,31679792,183,10,924261895,1,7.94,2022-01-23 07:30:23,2313.956
27041500,2022:1:23:7:30:23,3,11.3833631,47.3122468,2313956,55,-27,-9,62,31679792,183,10,924261895,1,7.94,2022-01-23 07:30:23,2313.956
27041600,2022:1:23:7:30:23,3,11.383363,47.3122468,2313965,-1,6,-10,6,31679792,183,10,924261895,1,7.94,2022-01-23 07:30:23,2313.965
27041700,2022:1:23:7:30:23,3,11.3833628,47.312247,2313979,36,-34,-12,49,31679792,183,10,924261895,1,7.94,2022-01-23 07:30:23,2313.979
27041800,2022:1:23:7:30:23,3,11.3833627,47.312247,2314002,-5,-34,-11,34,31679792,183,10,924261895,1,7.94,2022-01-23 07:30:23,2314.002
27041900,2022:1:23:7:30:23,3,11.3833626,47.3122472,2314009,33,-6,-13,34,31679792,183,10,924261895,1,7.94,2022-01-23 07:30:23,2314.009
27042000,2022:1:23:7:30:24,3,11.3833624,47.3122473,2314014,30,-25,-10,39,31679792,183,10,924327431,1,7.94,2022-01-23 07:30:24,2314.014
27042100,2022:1:23:7:30:24,3,11.3833623,47.3122475,2314035,36,5,-16,37,31679792,183,10,924327431,1,7.94,2022-01-23 07:30:24,2314.035
27042200,2022:1:23:7:30:24,3,11.3833621,47.3122475,2314053,-7,5,-12,8,31679792,183,10,924327431,0,7.94,2022-01-23 07:30:24,2314.053
27042300,2022:1:23:7:30:24,3,11.383362,47.3122477,2314048,5,-16,-5,17,31679792,183,10,924327431,0,7.94,2022-01-23 07:30:24,2314.048
27042400,2022:1:23:7:30:24,3,11.3833618,47.3122478,2314062,-4,-10,-7,11,31679792,183,10,924327431,0,7.94,2022-01-23 07:30:24,2314.062
27042500,2022:1:23:7:30:24,3,11.3833616,47.312248,2314060,38,7,0,39,31679792,183,10,924327431,0,7.94,2022-01-23 07:30:24,2314.06
27042600,2022:1:23:7:30:24,3,11.3833615,47.312248,2314090,5,-9,-13,11,31679792,183,10,924327431,0,7.94,2022-01-23 07:30:24,2314.09
27042700,2022:1:23:7:30:24,3,11.3833613,47.3122481,2314096,-29,-24,-10,37,31679792,183,10,924327431,0,7.94,2022-01-23 07:30:24,2314.096
27042800,2022:1:23:7:30:24,3,11.3833613,47.3122482,2314113,-6,38,-19,38,31679792,183,10,924327431,0,7.94,2022-01-23 07:30:24,2314.113
27042900,2022:1:23:7:30:24,3,11.3833609,47.3122485,2314091,33,-36,-5,49,31679792,183,10,924327431,0,7.94,2022-01-23 07:30:24,2314.091
27043000,2022:1:23:7:30:25,3,11.3833608,47.3122484,2314108,-37,-16,-6,40,31679792,183,10,924392967,0,7.94,2022-01-23 07:30:25,2314.108
27043100,2022:1:23:7:30:25,3,11.3833607,47.3122485,2314111,-7,5,-3,9,31679792,183,10,924392967,0,7.94,2022-01-23 07:30:25,2314.111
27043200,2022:1:23:7:30:25,3,11.3833605,47.3122487,2314130,50,7,-8,50,31679792,183,10,924392967,1,7.94,2022-01-23 07:30:25,2314.13
27043300,2022:1:23:7:30:25,3,11.3833603,47.3122488,2314118,25,-30,0,39,31679792,183,10,924392967,1,7.94,2022-01-23 07:30:25,2314.118
27043400,2022:1:23:7:30:25,3,11.3833602,47.3122488,2314131,-12,-4,-6,13,31679792,183,10,924392967,1,7.94,2022-01-23 07:30:25,2314.131
27043500,2022:1:23:7:30:25,3,11.3833601,47.3122489,2314133,-9,-1,-2,9,31679792,183,10,924392967,1,7.94,2022-01-23 07:30:25,2314.133
27043600,2022:1:23:7:30:25,3,11.38336,47.3122488,2314160,-36,8,-15,37,31679792,183,10,924392967,1,7.94,2022-01-23 07:30:25,2314.16
27043700,2022:1:23:7:30:25,3,11.3833599,47.3122489,2314154,-40,-1,-1,40,31679792,183,10,924392967,1,7.94,2022-01-23 07:30:25,2314.154
27043800,2022:1:23:7:30:25,3,11.3833598,47.3122491,2314163,52,10,-6,53,31679792,183,10,924392967,1,7.94,2022-01-23 07:30:25,2314.163
27043900,2022:1:23:7:30:25,3,11.3833598,47.3122491,2314180,47,9,-7,48,31679792,183,10,924392967,1,7.94,2022-01-23 07:30:25,2314.18
27044000,2022:1:23:7:30:26,3,11.3833596,47.3122491,2314193,-15,-29,-4,33,31679792,183,10,924458503,1,7.94,2022-01-23 07:30:26,2314.193
27044100,2022:1:23:7:30:26,3,11.3833596,47.3122491,2314188,-43,6,1,43,31679792,183,10,924458503,1,7.94,2022-01-23 07:30:26,2314.188
27044200,2022:1:23:7:30:26,3,11.3833595,47.3122491,2314198,-14,2,-2,14,31679792,183,10,924458503,0,7.94,2022-01-23 07:30:26,2314.198
27044300,2022:1:23:7:30:26,3,11.3833594,47.3122491,2314218,-21,4,-12,21,31679792,183,10,924458503,0,7.94,2022-01-23 07:30:26,2314.218
27044400,2022:1:23:7:30:26,3,11.3833592,47.3122493,2314217,21,-5,-8,22,31679792,183,10,924458503,0,7.94,2022-01-23 07:30:26,2314.217
27044500,2022:1:23:7:30:26,3,11.3833592,47.3122494,2314210,19,23,-4,30,31679792,183,10,924458503,0,7.94,2022-01-23 07:30:26,2314.21
27044600,2022:1:23:7:30:26,3,11.383359,47.3122493,2314244,-15,-29,-20,33,31679792,183,10,924458503,0,7.94,2022-01-23 07:30:26,2314.244
27044700,2022:1:23:7:30:26,3,11.3833589,47.3122495,2314225,-6,-7,-11,9,31679792,183,10,924458503,0,7.94,2022-01-23 07:30:26,2314.225
27044800,2022:1:23:7:30:26,3,11.3833589,47.3122494,2314243,-42,21,-26,47,31679792,183,10,924458503,0,7.94,2022-01-23 07:30:26,2314.243
27044900,2022:1:23:7:30:26,3,11.3833587,47.3122495,2314249,-38,-28,-30,47,31679792,183,10,924458503,0,7.94,2022-01-23 07:30:26,2314.249
27045000,2022:1:23:7:30:27,3,11.3833586,47.3122497,2314240,53,-21,-25,57,31679792,183,10,924524039,0,7.94,2022-01-23 07:30:27,2314.24
27045100,2022:1:23:7:30:27,3,11.3833586,47.3122496,2314264,-41,8,-37,42,31679792,183,10,924524039,1,7.94,2022-01-23 07:30:27,2314.264
27045200,2022:1:23:7:30:27,3,11.3833584,47.3122497,2314260,4,-30,-32,30,31679792,183,10,924524039,1,7.94,2022-01-23 07:30:27,2314.26
27045300,2022:1:23:7:30:27,3,11.3833584,47.3122497,2314282,17,22,-34,27,31679792,183,10,924524039,1,7.94,2022-01-23 07:30:27,2314.282
27045400,2022:1:23:7:30:27,3,11.3833582,47.3122497,2314283,-39,-31,-31,49,31679792,183,10,924524039,1,7.94,2022-01-23 07:30:27,2314.283
27045500,2022:1:23:7:30:27,3,11.3833582,47.3122498,2314288,27,34,-25,44,31679792,183,10,924524039,1,7.94,2022-01-23 07:30:27,2314.288
27045600,2022:1:23:7:30:27,3,11.3833581,47.3122499,2314300,17,-6,-21,18,31679792,183,10,924524039,1,7.94,2022-01-23 07:30:27,2314.3
27045700,2022:1:23:7:30:27,3,11.383358,47.3122498,2314311,-35,-5,-14,36,31679792,183,10,924524039,1,7.94,2022-01-23 07:30:27,2314.311
27045800,2022:1:23:7:30:27,3,11.3833578,47.3122499,2314337,-5,-16,-17,17,31679792,183,10,924524039,1,7.94,2022-01-23 07:30:27,2314.337
27045900,2022:1:23:7:30:27,3,11.3833578,47.3122499,2314355,19,22,-14,29,31679792,183,10,924524039,1,7.94,2022-01-23 07:30:27,2314.355
27046000,2022:1:23:7:30:28,3,11.3833577,47.3122499,2314362,21,-4,-7,21,31679792,183,10,924589575,1,7.94,2022-01-23 07:30:28,2314.362
27046100,2022:1:23:7:30:28,3,11.3833576,47.3122499,2314378,-3,17,0,17,31679792,183,10,924589575,1,7.94,2022-01-23 07:30:28,2314.378
27046200,2022:1:23:7:30:28,3,11.3833574,47.3122499,2314402,-6,-20,-6,21,31679792,183,10,924589575,0,7.94,2022-01-23 07:30:28,2314.402
27046300,2022:1:23:7:30:28,3,11.3833572,47.31225,2314404,31,-11,1,33,31679792,183,10,924589575,0,7.94,2022-01-23 07:30:28,2314.404
27046400,2022:1:23:7:30:28,3,11.3833572,47.3122499,2314412,-29,17,-3,34,31679792,183,10,924589575,0,7.94,2022-01-23 07:30:28,2314.412
27046500,2022:1:23:7:30:28,3,11.3833571,47.31225,2314391,-32,23,10,39,31679792,183,10,924589575,0,7.94,2022-01-23 07:30:28,2314.391
27046600,2022:1:23:7:30:28,3,11.3833569,47.31225,2314422,-14,10,-2,17,31679792,183,10,924589575,0,7.94,2022-01-23 07:30:28,2314.422
27046700,2022:1:23:7:30:28,3,11.3833569,47.3122499,2314417,-43,34,7,55,31679792,183,10,924589575,0,7.94,2022-01-23 07:30:28,2314.417
27046800,2022:1:23:7:30:28,3,11.3833568,47.3122499,2314434,-38,-3,4,38,31679792,183,10,924589575,0,7.94,2022-01-23 07:30:28,2314.434
27046900,2022:1:23:7:30:28,3,11.3833567,47.31225,2314442,-4,30,4,30,31679792,183,10,924589575,0,7.94,2022-01-23 07:30:28,2314.442
27047000,2022:1:23:7:30:29,3,11.3833566,47.31225,2314445,-10,5,10,11,31679792,183,10,924655111,0,7.94,2022-01-23 07:30:29,2314.445
27047100,2022:1:23:7:30:29,3,11.3833565,47.31225,2314464,20,1,5,20,31679792,183,10,924655111,0,7.94,2022-01-23 07:30:29,2314.464
27047200,2022:1:23:7:30:29,3,11.3833565,47.31225,2314469,6,13,7,14,31679792,183,10,924655111,1,7.94,2022-01-23 07:30:29,2314.469
27047300,2022:1:23:7:30:29,3,11.3833563,47.31225,2314476,-20,-10,2,23,31679792,183,10,924655111,1,7.94,2022-01-23 07:30:29,2314.476
27047400,2022:1:23:7:30:29,3,11.3833562,47.31225,2314471,-22,12,13,25,31679792,183,10,924655111,1,7.94,2022-01-23 07:30:29,2314.471
27047500,2022:1:23:7:30:29,3,11.3833561,47.3122501,2314478,13,3,8,14,31679792,183,10,924655111,1,7.94,2022-01-23 07:30:29,2314.478
27047600,2022:1:23:7:30:29,3,11.383356,47.3122502,2314479,9,25,6,26,31679792,183,10,924655111,1,7.94,2022-01-23 07:30:29,2314.479
27047700,2022:1:23:7:30:29,3,11.3833559,47.3122502,2314474,-31,-1,16,31,31679792,183,10,924655111,1,7.94,2022-01-23 07:30:29,2314.474
27047800,2022:1:23:7:30:29,3,11.3833559,47.3122499,2314526,-71,20,-8,74,31679792,183,10,924655111,1,7.94,2022-01-23 07:30:29,2314.526
27047900,2022:1:23:7:30:29,3,11.3833556,47.31225,2314537,-26,-31,-12,41,31679792,183,10,924655111,1,7.94,2022-01-23 07:30:29,2314.537
27048000,2022:1:23:7:30:30,3,11.3833556,47.3122502,2314514,2,15,6,16,31679792,183,10,924720647,1,7.94,2022-01-23 07:30:30,2314.514
27048100,2022:1:23:7:30:30,3,11.3833557,47.31225,2314513,-56,71,17,91,31679792,183,10,924720647,1,7.94,2022-01-23 07:30:30,2314.513
27048200,2022:1:23:7:30:30,3,11.3833549,47.31225,2314480,-149,-243,54,285,31679792,183,10,924720647,0,7.94,2022-01-23 07:30:30,2314.48
27048300,2022:1:23:7:30:30,3,11.3833545,47.3122497,2314464,-250,-283,73,377,31679792,183,10,924720647,0,7.94,2022-01-23 07:30:30,2314.464
27048400,2022:1:23:7:30:30,3,11.3833542,47.3122492,2314483,-339,-242,65,416,22123690,183,10,924720647,0,7.94,2022-01-23 07:30:30,2314.483
27048500,2022:1:23:7:30:30,3,11.383354,47.3122487,2314474,-436,-173,72,469,21030308,183,10,924720647,0,7.94,2022-01-23 07:30:30,2314.474
27048600,2022:1:23:7:30:30,3,11.3833538,47.3122484,2314479,-379,-130,75,401,20563528,183,10,924720647,0,7.94,2022-01-23 07:30:30,2314.479
27048700,2022:1:23:7:30:30,3,11.3833537,47.3122483,2314380,-375,-111,126,392,20563528,183,10,924720647,0,7.94,2022-01-23 07:30:30,2314.38
27048800,2022:1:23:7:30:30,3,11.3833531,47.3122479,2314323,-540,-288,152,612,20729645,183,10,924720647,0,7.94,2022-01-23 07:30:30,2314.323
27048900,2022:1:23:7:30:30,3,11.3833535,47.3122465,2314376,-810,-71,119,813,19267195,183,10,924720647,0,7.94,2022-01-23 07:30:30,2314.376
27049000,2022:1:23:7:30:31,3,11.3833533,47.3122454,2314377,-943,-101,124,948,18896875,183,10,924786183,0,7.94,2022-01-23 07:30:31,2314.377
27049100,2022:1:23:7:30:31,3,11.3833523,47.3122445,2314357,-981,-324,136,1033,19374258,183,10,924786183,0,7.94,2022-01-23 07:30:31,2314.357
27049200,2022:1:23:7:30:31,3,11.3833515,47.312243,2314301,-1201,-312,197,1241,19424499,183,10,924786183,1,7.94,2022-01-23 07:30:31,2314.301
27049300,2022:1:23:7:30:31,3,11.3833494,47.312242,2314292,-1186,-704,208,1379,20267215,183,10,924786183,1,7.94,2022-01-23 07:30:31,2314.292
27049400,2022:1:23:7:30:31,3,11.3833482,47.3122407,2314248,-1246,-702,244,1430,20617701,183,10,924786183,1,7.94,2022-01-23 07:30:31,2314.248
27049500,2022:1:23:7:30:31,3,11.3833467,47.3122395,2314214,-1264,-831,263,1513,20992704,183,10,924786183,1,7.94,2022-01-23 07:30:31,2314.214
27049600,2022:1:23:7:30:31,3,11.3833452,47.3122375,2314154,-1568,-954,293,1835,21076178,183,10,924786183,1,7.94,2022-01-23 07:30:31,2314.154
27049700,2022:1:23:7:30:31,3,11.383344,47.3122351,2313997,-1986,-1000,373,2224,20825741,183,10,924786183,1,7.94,2022-01-23 07:30:31,2313.997
27049800,2022:1:23:7:30:31,3,11.383342,47.3122327,2313897,-2237,-1227,407,2552,20853528,183,10,924786183,1,7.94,2022-01-23 07:30:31,2313.897
27049900,2022:1:23:7:30:31,3,11.3833403,47.3122316,2313726,-2090,-1222,470,2421,20937084,183,10,924786183,1,7.94,2022-01-23 07:30:31,2313.726
27050000,2022:1:23:7:30:32,3,11.3833388,47.3122292,2313632,-2273,-1229,493,2584,20884462,183,10,924851719,1,7.94,2022-01-23 07:30:32,2313.632
27050100,2022:1:23:7:30:32,3,11.3833375,47.3122273,2313488,-2291,-1145,545,2561,20770109,183,10,924851719,1,7.94,2022-01-23 07:30:32,2313.488
27050200,2022:1:23:7:30:32,3,11.3833358,47.3122247,2313373,-2496,-1217,582,2777,20682258,183,10,924851719,0,7.94,2022-01-23 07:30:32,2313.373
27050300,2022:1:23:7:30:32,3,11.3833338,47.3122224,2313182,-2636,-1355,649,2964,20703568,183,10,924851719,0,7.94,2022-01-23 07:30:32,2313.182
27050400,2022:1:23:7:30:32,3,11.3833314,47.3122203,2312962,-2723,-1526,729,3122,20822950,183,10,924851719,0,7.94,2022-01-23 07:30:32,2312.962
27050500,2022:1:23:7:30:32,3,11.3833294,47.312217,2312817,-2979,-1575,774,3370,20802640,183,10,924851719,0,7.94,2022-01-23 07:30:32,2312.817
27050600,2022:1:23:7:30:32,3,11.3833274,47.3122155,2312507,-2833,-1597,879,3252,20877106,183,10,924851719,0,7.94,2022-01-23 07:30:32,2312.507
27050700,2022:1:23:7:30:32,3,11.383325,47.3122118,2312396,-3184,-1747,899,3632,20875871,183,10,924851719,0,7.94,2022-01-23 07:30:32,2312.396
27050800,2022:1:23:7:30:32,3,11.3833227,47.3122098,2312091,-3080,-1796,1001,3566,20952939,183,10,924851719,0,7.94,2022-01-23 07:30:32,2312.091
27050900,2022:1:23:7:30:32,3,11.3833196,47.3122081,2311918,-2844,-1985,1032,3468,21225132,183,10,924851719,0,7.94,2022-01-23 07:30:32,2311.918
27051000,2022:1:23:7:30:33,3,11.3833174,47.3122046,2311701,-3189,-1951,1094,3738,21180117,183,10,924917255,0,7.94,2022-01-23 07:30:33,2311.701
27051100,2022:1:23:7:30:33,3,11.3833138,47.3122033,2311417,-2883,-2211,1176,3634,21465860,183,10,924917255,0,7.94,2022-01-23 07:30:33,2311.417
27051200,2022:1:23:7:30:33,3,11.383311,47.3122004,2311147,-3117,-2294,1238,3870,21559850,183,10,924917255,1,7.94,2022-01-23 07:30:33,2311.147
27051300,2022:1:23:7:30:33,3,11.383308,47.3121971,2310949,-3326,-2311,1274,4050,21515768,183,10,924917255,1,7.94,2022-01-23 07:30:33,2310.949
27051400,2022:1:23:7:30:33,3,11.383305,47.3121941,2310755,-3366,-2331,1306,4094,21492037,183,10,924917255,1,7.94,2022-01-23 07:30:33,2310.755
27051500,2022:1:23:7:30:33,3,11.3833026,47.3121908,2310524,-3531,-2223,1351,4172,21344291,183,10,924917255,1,7.94,2022-01-23 07:30:33,2310.524
27051600,2022:1:23:7:30:33,3,11.3832985,47.3121868,2310281,-3846,-2611,1412,4648,21386360,183,10,924917255,1,7.94,2022-01-23 07:30:33,2310.281
27051700,2022:1:23:7:30:33,3,11.3832936,47.3121829,2310040,-4062,-3048,1462,5078,21551999,183,10,924917255,1,7.94,2022-01-23 07:30:33,2310.04
27051800,2022:1:23:7:30:33,3,11.3832897,47.312179,2309832,-4155,-3039,1505,5148,21590039,183,10,924917255,1,7.87,2022-01-23 07:30:33,2309.832
